price,city,kms_driven,age,power,brand,owner
51000,Pune,25102,6,220,Bajaj,First Owner
50000,Faridabad,13000,7,220,Bajaj,First Owner
60000,Thane,3500,6,220,Bajaj,First Owner
41245,Hyderabad,55000,9,220,Bajaj,First Owner
52000,Jaipur,19400,7,220,Bajaj,First Owner
56500,Delhi,20000,6,220,Bajaj,First Owner
60600,Hyderabad,7200,6,220,Bajaj,First Owner
75000,Rajkot,10000,5,220,Bajaj,First Owner
35300,Vadodara,40000,8,220,Bajaj,First Owner
45000,Jaipur,15091,7,220,Bajaj,Second Owner
40000,Bangalore,26070,8,220,Bajaj,Second Owner
47000,Satara,45000,7,220,Bajaj,Second Owner
31100,Kolhapur,11500,9,220,Bajaj,Second Owner
35590,Gautam Buddha Nagar,45217,7,220,Bajaj,Second Owner
35000,Delhi,15200,10,220,Bajaj,First Owner
60000,Sangareddy,34000,7,220,Bajaj,First Owner
28000,Noida,40000,11,220,Bajaj,Second Owner
45000,Delhi,15665,7,220,Bajaj,First Owner
38000,Ghaziabad,9370,8,220,Bajaj,First Owner
29000,Faridabad,20440,11,220,Bajaj,First Owner
50000,Jaipur,18235,5,220,Bajaj,First Owner
60000,Jaipur,17962,5,220,Bajaj,First Owner
37000,Ahmedabad,30334,7,220,Bajaj,Fourth Owner Or More
65000,Jalandhar,80000,5,220,Bajaj,First Owner
45000,Delhi,15665,7,220,Bajaj,First Owner
29000,Faridabad,20440,11,220,Bajaj,First Owner
48000,Mumbai,14600,6,220,Bajaj,Second Owner
52000,Bangalore,26329,5,220,Bajaj,First Owner
60000,Chennai,26132,6,220,Bajaj,First Owner
40000,Mumbai,3443,6,220,Bajaj,First Owner
32000,Gurgaon,10576,8,220,Bajaj,First Owner
40000,Gwalior,19300,7,220,Bajaj,First Owner
55000,Mathura,38000,6,220,Bajaj,First Owner
50000,Jaipur,1234,7,220,Bajaj,Second Owner
41000,Gurgaon,71303,6,220,Bajaj,First Owner
50000,Jaipur,1234,7,220,Bajaj,Second Owner
41000,Gurgaon,71303,6,220,Bajaj,First Owner
44600,Delhi,39500,8,220,Bajaj,First Owner
65200,Delhi,20000,3,220,Bajaj,First Owner
55000,Mathura,38000,6,220,Bajaj,First Owner
67000,Nagpur,12000,5,220,Bajaj,First Owner
41000,Bangalore,33000,9,220,Bajaj,First Owner
58000,Hyderabad,20000,7,220,Bajaj,First Owner
75000,Chennai,15000,5,220,Bajaj,First Owner
40800,Bangalore,25000,9,220,Bajaj,First Owner
75000,Chennai,15000,5,220,Bajaj,First Owner
35000,Mumbai,34000,10,220,Bajaj,First Owner
55000,Gurgaon,7800,7,220,Bajaj,First Owner
42000,Pune,29000,10,220,Bajaj,First Owner
44600,Delhi,39500,8,220,Bajaj,First Owner
35000,Ahmedabad,8680,6,220,Bajaj,First Owner
32000,Ahmedabad,24530,9,220,Bajaj,Third Owner
42000,Thane,17028,7,220,Bajaj,First Owner
45000,Mumbai,15000,8,220,Bajaj,First Owner
65000,Pune,30377,5,220,Bajaj,First Owner
35000,Pune,52340,10,220,Bajaj,First Owner
55000,Bangalore,13915,8,220,Bajaj,First Owner
26333,Ahmedabad,32000,7,220,Bajaj,First Owner
32000,Gurgaon,25751,8,220,Bajaj,Third Owner
51000,Dakshina Kannada,29700,5,220,Bajaj,First Owner
65000,Noida,19700,4,220,Bajaj,First Owner
59500,Delhi,5000,5,220,Bajaj,First Owner
38000,Delhi,20000,8,220,Bajaj,First Owner
65000,Jaipur,19134,6,220,Bajaj,First Owner
55000,Jaipur,18000,5,220,Bajaj,First Owner
45000,Delhi,22222,7,220,Bajaj,First Owner
65000,Jaipur,19134,6,220,Bajaj,First Owner
55000,Jaipur,18000,5,220,Bajaj,First Owner
45000,Delhi,22222,7,220,Bajaj,First Owner
49000,Bangalore,47043,5,220,Bajaj,First Owner
43000,Mumbai,6000,7,220,Bajaj,First Owner
32900,Mehsana,11000,8,220,Bajaj,First Owner
32000,Ahmedabad,24530,9,220,Bajaj,Third Owner
51000,Dakshina Kannada,29700,5,220,Bajaj,First Owner
65000,Noida,19700,4,220,Bajaj,First Owner
65000,Dehradun,23000,5,220,Bajaj,First Owner
42000,Thane,17028,7,220,Bajaj,First Owner
32000,Delhi,17529,8,220,Bajaj,First Owner
34000,Bangalore,26110,8,220,Bajaj,First Owner
32900,Mehsana,11000,8,220,Bajaj,First Owner
52000,Pune,7000,6,220,Bajaj,First Owner
49990,Delhi,46000,7,220,Bajaj,First Owner
65000,Pune,30377,5,220,Bajaj,First Owner
26000,Faridabad,37469,10,220,Bajaj,First Owner
35000,Mumbai,34000,10,220,Bajaj,First Owner
43000,Bangalore,33807,7,220,Bajaj,Second Owner
45000,Pune,27000,9,220,Bajaj,First Owner
45000,Mumbai,15000,8,220,Bajaj,First Owner
60000,Delhi,12000,5,220,Bajaj,First Owner
58000,Bangalore,24220,5,220,Bajaj,First Owner
56000,Chennai,27350,6,220,Bajaj,First Owner
35000,Chennai,32342,9,220,Bajaj,First Owner
54000,Hyderabad,32000,7,220,Bajaj,First Owner
52000,Barabanki,38943,6,220,Bajaj,First Owner
77000,Delhi,19820,6,220,Bajaj,First Owner
53000,Delhi,15000,7,220,Bajaj,First Owner
45000,Indore,35497,7,220,Bajaj,First Owner
41000,Delhi,20245,11,220,Bajaj,Second Owner
51000,Faridabad,30000,8,220,Bajaj,First Owner
65000,Unnao,15200,6,220,Bajaj,First Owner
60000,Delhi,21000,7,220,Bajaj,First Owner
54400,Gurgaon,27000,6,220,Bajaj,First Owner
36000,Surat,10000,8,220,Bajaj,Second Owner
50000,Pune,46527,8,220,Bajaj,First Owner
76000,Pune,7500,5,220,Bajaj,First Owner
40000,Bangalore,27090,8,220,Bajaj,Second Owner
35000,Delhi,31733,8,220,Bajaj,First Owner
45000,Deesa,35000,8,220,Bajaj,First Owner
45000,Bangalore,17160,6,220,Bajaj,Second Owner
51500,Delhi,4734,6,220,Bajaj,First Owner
45000,Delhi,33052,10,220,Bajaj,First Owner
38000,Varanasi,31927,9,220,Bajaj,Second Owner
55000,Pune,5000,8,220,Bajaj,First Owner
36000,Hyderabad,574,8,220,Bajaj,First Owner
55000,Batala,4900,7,220,Bajaj,First Owner
